FULL TEXT PREPROCESSING — MANAJEMEN ENERGI  |  Information Retrieval Pipeline,,,,,,,,
DocID,Teks Mentah (Raw Text),Case Folding & Cleaning,Tokenisasi,Stop-word Removal,Stemming – Hasil Akhir,Forward Index (Term: Freq),"Jumlah
Unique Terms","Jumlah
Token Awal"
Doc 33,"Kajian literatur dilakukan dengan menelusuri dan menganalisis berbagai sumber ilmiah yang relevan, seperti jurnal, artikel, laporan pemerintah, buku, dan publikasi dari situs web resmi yang berkaitan dengan konsumsi listrik rumah tangga, efisiensi energi, serta manajemen energi di Indonesia.",kajian literatur dilakukan dengan menelusuri dan menganalisis berbagai sumber ilmiah yang relevan seperti jurnal artikel laporan pemerintah buku dan publikasi dari situs web resmi yang berkaitan dengan konsumsi listrik rumah tangga efisiensi energi serta manajemen energi di indonesia,"[kajian, literatur, dilakukan, dengan, menelusuri, dan, menganalisis, berbagai, sumber, ilmiah, yang, relevan, seperti, jurnal, artikel, laporan, pemerintah, buku, dan, publikasi, dari, situs, web, resmi, yang, berkaitan, dengan, konsumsi, listrik, rumah, tangga, efisiensi, energi, serta, manajemen, energi, di, indonesia]","[kajian, literatur, ilmiah, relevan, pemerintah, situs, web, resmi, konsumsi, listrik, rumah, tangga, efisiensi, energi, manajemen, energi]","[kaji, literatur, ilmiah, relev, pemerintah, situs, web, resmi, konsumsi, listrik, rumah, tangga, efisiensi, energi, manajemen, energi]","energi:2, efisiensi:1, ilmiah:1, kaji:1, konsumsi:1, listrik:1, literatur:1, manajemen:1, pemerintah:1, relev:1, resmi:1, rumah:1, situs:1, tangga:1, web:1",15,38
Doc 34,"Fokus kajian diarahkan pada studi yang membahas konsumsi listrik per kapita, perilaku energi masyarakat, penerapan teknologi efisiensi energi, dan kebijakan pemerintah terkait manajemen energi rumah tangga.",fokus kajian diarahkan pada studi yang membahas konsumsi listrik per kapita perilaku energi masyarakat penerapan teknologi efisiensi energi dan kebijakan pemerintah terkait manajemen energi rumah tangga,"[fokus, kajian, diarahkan, pada, studi, yang, membahas, konsumsi, listrik, per, kapita, perilaku, energi, masyarakat, penerapan, teknologi, efisiensi, energi, dan, kebijakan, pemerintah, terkait, manajemen, energi, rumah, tangga]","[fokus, kajian, studi, konsumsi, listrik, kapita, perilaku, energi, masyarakat, penerapan, teknologi, efisiensi, energi, kebijakan, pemerintah, manajemen, energi, rumah, tangga]","[fokus, kaji, studi, konsumsi, listrik, kapita, laku, energi, masyarakat, terap, teknologi, efisiensi, energi, bijak, pemerintah, manajemen, energi, rumah, tangga]","energi:3, bijak:1, efisiensi:1, fokus:1, kaji:1, kapita:1, konsumsi:1, laku:1, listrik:1, manajemen:1, masyarakat:1, pemerintah:1, rumah:1, studi:1, tangga:1, teknologi:1, terap:1",17,26
Doc 35,"Berdasarkan penelusuran jurnal menggunakan kata kunci seperti manajemen energi rumah tangga, konsumsi listrik Indonesia, efisiensi energi, dan energi terbarukan.",berdasarkan penelusuran jurnal menggunakan kata kunci seperti manajemen energi rumah tangga konsumsi listrik indonesia efisiensi energi dan energi terbarukan,"[berdasarkan, penelusuran, jurnal, menggunakan, kata, kunci, seperti, manajemen, energi, rumah, tangga, konsumsi, listrik, indonesia, efisiensi, energi, dan, energi, terbarukan]","[penelusuran, menggunakan, kata, kunci, manajemen, energi, rumah, tangga, konsumsi, listrik, efisiensi, energi, energi, terbarukan]","[penelusur, guna, kata, kunci, manajemen, energi, rumah, tangga, konsumsi, listrik, efisiensi, energi, energi, terbarukan]","energi:3, efisiensi:1, guna:1, kata:1, konsumsi:1, kunci:1, listrik:1, manajemen:1, penelusur:1, rumah:1, tangga:1, terbarukan:1",12,19
Doc 36,"Pemahaman terhadap konsumsi listrik per kapita menjadi sangat relevan untuk melihat dinamika kebutuhan energi masyarakat dari waktu ke waktu, serta menjadi dasar dalam merumuskan strategi manajemen energi yang lebih efisien dan berkelanjutan.",pemahaman terhadap konsumsi listrik per kapita menjadi sangat relevan untuk melihat dinamika kebutuhan energi masyarakat dari waktu ke waktu serta menjadi dasar dalam merumuskan strategi manajemen energi yang lebih efisien dan berkelanjutan,"[pemahaman, terhadap, konsumsi, listrik, per, kapita, menjadi, sangat, relevan, untuk, melihat, dinamika, kebutuhan, energi, masyarakat, dari, waktu, ke, waktu, serta, menjadi, dasar, dalam, merumuskan, strategi, manajemen, energi, yang, lebih, efisien, dan, berkelanjutan]","[pemahaman, konsumsi, listrik, kapita, relevan, melihat, dinamika, energi, masyarakat, waktu, waktu, dasar, strategi, manajemen, energi, efisien, berkelanjutan]","[pemaham, konsumsi, listrik, kapita, relev, melihat, dinamika, energi, masyarakat, waktu, waktu, dasar, strategi, manajemen, energi, efisien]","energi:2, waktu:2, dasar:1, dinamika:1, efisien:1, kapita:1, konsumsi:1, listrik:1, manajemen:1, masyarakat:1, melihat:1, pemaham:1, relev:1, strategi:1",14,32
Doc 37,"Data ini berfungsi sebagai indikator penting untuk melihat sejauh mana kebutuhan energi listrik masyarakat meningkat dari waktu ke waktu, sekaligus menjadi dasar dalam menganalisis urgensi penerapan manajemen energi yang lebih efisien.",data ini berfungsi sebagai indikator penting untuk melihat sejauh mana kebutuhan energi listrik masyarakat meningkat dari waktu ke waktu sekaligus menjadi dasar dalam menganalisis urgensi penerapan manajemen energi yang lebih efisien,"[data, ini, berfungsi, sebagai, indikator, penting, untuk, melihat, sejauh, mana, kebutuhan, energi, listrik, masyarakat, meningkat, dari, waktu, ke, waktu, sekaligus, menjadi, dasar, dalam, menganalisis, urgensi, penerapan, manajemen, energi, yang, lebih, efisien]","[data, indikator, penting, melihat, sejauh, energi, listrik, masyarakat, waktu, waktu, dasar, urgensi, penerapan, manajemen, energi, efisien]","[data, indikator, penting, melihat, sejauh, energi, listrik, masyarakat, waktu, waktu, dasar, urgensi, terap, manajemen, energi, efisien]","energi:2, waktu:2, dasar:1, data:1, efisien:1, indikator:1, listrik:1, manajemen:1, masyarakat:1, melihat:1, penting:1, sejauh:1, terap:1, urgensi:1",14,31
Doc 38,"Meningkatkan konsumsi listrik memang menjadi bagian dari proses pembangunan, namun harus diiringi dengan strategi manajemen energi yang efektif agar pertumbuhan tersebut tidak berujung pada pemborosan atau krisis energi.",meningkatkan konsumsi listrik memang menjadi bagian dari proses pembangunan namun harus diiringi dengan strategi manajemen energi yang efektif agar pertumbuhan tersebut tidak berujung pada pemborosan atau krisis energi,"[meningkatkan, konsumsi, listrik, memang, menjadi, bagian, dari, proses, pembangunan, namun, harus, diiringi, dengan, strategi, manajemen, energi, yang, efektif, agar, pertumbuhan, tersebut, tidak, berujung, pada, pemborosan, atau, krisis, energi]","[meningkatkan, konsumsi, listrik, proses, pembangunan, diiringi, strategi, manajemen, energi, efektif, pertumbuhan, berujung, pemborosan, krisis, energi]","[tingkat, konsumsi, listrik, proses, bangun, diiringi, strategi, manajemen, energi, efektif, tumbuh, berujung, boros, krisis, energi]","energi:2, bangun:1, berujung:1, boros:1, diiringi:1, efektif:1, konsumsi:1, krisis:1, listrik:1, manajemen:1, proses:1, strategi:1, tingkat:1, tumbuh:1",14,28
Doc 39,"Oleh karena itu, penerapan manajemen energi di sektor rumah tangga menjadi sangat krusial.",oleh karena itu penerapan manajemen energi di sektor rumah tangga menjadi sangat krusial,"[oleh, karena, itu, penerapan, manajemen, energi, di, sektor, rumah, tangga, menjadi, sangat, krusial]","[penerapan, manajemen, energi, sektor, rumah, tangga, krusial]","[terap, manajemen, energi, sektor, rumah, tangga, krusial]","energi:1, krusial:1, manajemen:1, rumah:1, sektor:1, tangga:1, terap:1",7,13
Doc 40,"Untuk mengatasi tantangan krisis energi dan terus meningkatnya konsumsi listrik rumah tangga, penerapan manajemen energi menjadi sebuah solusi strategis yang tidak hanya berorientasi pada penghematan biaya, tetapi juga mendukung keberlanjutan lingkungan dan ketahanan energi nasional.",untuk mengatasi tantangan krisis energi dan terus meningkatnya konsumsi listrik rumah tangga penerapan manajemen energi menjadi sebuah solusi strategis yang tidak hanya berorientasi pada penghematan biaya tetapi juga mendukung keberlanjutan lingkungan dan ketahanan energi nasional,"[untuk, mengatasi, tantangan, krisis, energi, dan, terus, meningkatnya, konsumsi, listrik, rumah, tangga, penerapan, manajemen, energi, menjadi, sebuah, solusi, strategis, yang, tidak, hanya, berorientasi, pada, penghematan, biaya, tetapi, juga, mendukung, keberlanjutan, lingkungan, dan, ketahanan, energi, nasional]","[mengatasi, tantangan, krisis, energi, meningkatnya, konsumsi, listrik, rumah, tangga, penerapan, manajemen, energi, strategis, berorientasi, penghematan, biaya, mendukung, keberlanjutan, lingkungan, ketahanan, energi, nasional]","[atasi, tantang, krisis, energi, tingkat, konsumsi, listrik, rumah, tangga, terap, manajemen, energi, strategi, berorientasi, hemat, biaya, dukung, lingkungan, tahan, energi, nasional]","energi:3, atasi:1, berorientasi:1, biaya:1, dukung:1, hemat:1, konsumsi:1, krisis:1, lingkungan:1, listrik:1, manajemen:1, nasional:1, rumah:1, strategi:1, tahan:1, tangga:1, tantang:1, terap:1, tingkat:1",19,35
Doc 41,"Manajemen energi adalah suatu pendekatan terencana dan sistematis dalam mengatur, memantau, serta mengoptimalkan penggunaan energi dengan tujuan untuk mengurangi pemborosan tanpa mengurangi kenyamanan atau produktivitas pengguna.",manajemen energi adalah suatu pendekatan terencana dan sistematis dalam mengatur memantau serta mengoptimalkan penggunaan energi dengan tujuan untuk mengurangi pemborosan tanpa mengurangi kenyamanan atau produktivitas pengguna,"[manajemen, energi, adalah, suatu, pendekatan, terencana, dan, sistematis, dalam, mengatur, memantau, serta, mengoptimalkan, penggunaan, energi, dengan, tujuan, untuk, mengurangi, pemborosan, tanpa, mengurangi, kenyamanan, atau, produktivitas, pengguna]","[manajemen, energi, pendekatan, terencana, sistematis, mengatur, memantau, mengoptimalkan, penggunaan, energi, tujuan, mengurangi, pemborosan, tanpa, mengurangi, kenyamanan, produktivitas, pengguna]","[manajemen, energi, pendekat, rencana, sistematis, mengatur, pantau, optimal, guna, energi, tuju, kurang, boros, tanpa, kurang, kenyaman, produktivitas, pengguna]","energi:2, kurang:2, boros:1, guna:1, kenyaman:1, manajemen:1, mengatur:1, optimal:1, pantau:1, pendekat:1, pengguna:1, produktivitas:1, rencana:1, sistematis:1, tanpa:1, tuju:1",16,26
Doc 42,"Dalam konteks rumah tangga, manajemen energi memiliki ruang lingkup yang luas, mulai dari perubahan perilaku individu, pemanfaatan teknologi yang efisien, hingga dukungan kebijakan dari pemerintah.",dalam konteks rumah tangga manajemen energi memiliki ruang lingkup yang luas mulai dari perubahan perilaku individu pemanfaatan teknologi yang efisien hingga dukungan kebijakan dari pemerintah,"[dalam, konteks, rumah, tangga, manajemen, energi, memiliki, ruang, lingkup, yang, luas, mulai, dari, perubahan, perilaku, individu, pemanfaatan, teknologi, yang, efisien, hingga, dukungan, kebijakan, dari, pemerintah]","[konteks, rumah, tangga, manajemen, energi, ruang, lingkup, luas, mulai, perubahan, perilaku, individu, pemanfaatan, teknologi, efisien, dukungan, kebijakan, pemerintah]","[konteks, rumah, tangga, manajemen, energi, ruang, lingkup, luas, mulai, ubah, laku, individu, manfaat, teknologi, efisien, dukung, bijak, pemerintah]","bijak:1, dukung:1, efisien:1, energi:1, individu:1, konteks:1, laku:1, lingkup:1, luas:1, manajemen:1, manfaat:1, mulai:1, pemerintah:1, ruang:1, rumah:1, tangga:1, teknologi:1, ubah:1",18,25
Doc 43,Salah satu langkah awal dalam menerapkan manajemen energi adalah peningkatan literasi energi masyarakat.,salah satu langkah awal dalam menerapkan manajemen energi adalah peningkatan literasi energi masyarakat,"[salah, satu, langkah, awal, dalam, menerapkan, manajemen, energi, adalah, peningkatan, literasi, energi, masyarakat]","[langkah, awal, menerapkan, manajemen, energi, peningkatan, literasi, energi, masyarakat]","[lang, awal, terap, manajemen, energi, tingkat, literasi, energi, masyarakat]","energi:2, awal:1, lang:1, literasi:1, manajemen:1, masyarakat:1, terap:1, tingkat:1",8,13
Doc 44,"Di sisi teknis, pengembangan dan penerapan teknologi pintar menjadi terobosan yang signifikan dalam manajemen energi rumah tangga.",di sisi teknis pengembangan dan penerapan teknologi pintar menjadi terobosan yang signifikan dalam manajemen energi rumah tangga,"[di, sisi, teknis, pengembangan, dan, penerapan, teknologi, pintar, menjadi, terobosan, yang, signifikan, dalam, manajemen, energi, rumah, tangga]","[sisi, teknis, pengembangan, penerapan, teknologi, pintar, terobosan, signifikan, manajemen, energi, rumah, tangga]","[sisi, teknis, kembang, terap, teknologi, pintar, terobos, signifikan, manajemen, energi, rumah, tangga]","energi:1, kembang:1, manajemen:1, pintar:1, rumah:1, signifikan:1, sisi:1, tangga:1, teknis:1, teknologi:1, terap:1, terobos:1",12,17
Doc 45,Pemerintah juga memiliki peran penting dalam menciptakan iklim yang kondusif bagi implementasi manajemen energi.,pemerintah juga memiliki peran penting dalam menciptakan iklim yang kondusif bagi implementasi manajemen energi,"[pemerintah, juga, memiliki, peran, penting, dalam, menciptakan, iklim, yang, kondusif, bagi, implementasi, manajemen, energi]","[pemerintah, peran, penting, menciptakan, iklim, kondusif, implementasi, manajemen, energi]","[pemerintah, peran, penting, cipta, iklim, kondusif, implementasi, manajemen, energi]","cipta:1, energi:1, iklim:1, implementasi:1, kondusif:1, manajemen:1, pemerintah:1, penting:1, peran:1",9,14
Doc 46,"Selain pendekatan efisiensi, integrasi energi terbarukan juga merupakan bagian dari solusi manajemen energi yang berkelanjutan.",selain pendekatan efisiensi integrasi energi terbarukan juga merupakan bagian dari solusi manajemen energi yang berkelanjutan,"[selain, pendekatan, efisiensi, integrasi, energi, terbarukan, juga, merupakan, bagian, dari, solusi, manajemen, energi, yang, berkelanjutan]","[pendekatan, efisiensi, integrasi, energi, terbarukan, manajemen, energi, berkelanjutan]","[pendekat, efisiensi, integrasi, energi, terbarukan, manajemen, energi]","energi:2, efisiensi:1, integrasi:1, manajemen:1, pendekat:1, terbarukan:1",6,15
Doc 47,Keberhasilan manajemen energi tidak dapat dicapai hanya melalui pendekatan teknologi dan kebijakan semata.,keberhasilan manajemen energi tidak dapat dicapai hanya melalui pendekatan teknologi dan kebijakan semata,"[keberhasilan, manajemen, energi, tidak, dapat, dicapai, hanya, melalui, pendekatan, teknologi, dan, kebijakan, semata]","[keberhasilan, manajemen, energi, dicapai, pendekatan, teknologi, kebijakan, semata]","[hasil, manajemen, energi, capai, pendekat, teknologi, bijak, semata]","bijak:1, capai:1, energi:1, hasil:1, manajemen:1, pendekat:1, semata:1, teknologi:1",8,13
Doc 48,"Secara keseluruhan, manajemen energi di sektor rumah tangga bukan hanya menjadi alat untuk mengatasi lonjakan konsumsi listrik, tetapi juga merupakan fondasi penting bagi pembangunan masa depan yang berwawasan lingkungan.",secara keseluruhan manajemen energi di sektor rumah tangga bukan hanya menjadi alat untuk mengatasi lonjakan konsumsi listrik tetapi juga merupakan fondasi penting bagi pembangunan masa depan yang berwawasan lingkungan,"[secara, keseluruhan, manajemen, energi, di, sektor, rumah, tangga, bukan, hanya, menjadi, alat, untuk, mengatasi, lonjakan, konsumsi, listrik, tetapi, juga, merupakan, fondasi, penting, bagi, pembangunan, masa, depan, yang, berwawasan, lingkungan]","[keseluruhan, manajemen, energi, sektor, rumah, tangga, alat, mengatasi, lonjakan, konsumsi, listrik, fondasi, penting, pembangunan, masa, depan, berwawasan, lingkungan]","[keseluruh, manajemen, energi, sektor, rumah, tangga, alat, atasi, lonja, konsumsi, listrik, fondasi, penting, bangun, masa, depan, wawas, lingkungan]","alat:1, atasi:1, bangun:1, depan:1, energi:1, fondasi:1, keseluruh:1, konsumsi:1, lingkungan:1, listrik:1, lonja:1, manajemen:1, masa:1, penting:1, rumah:1, sektor:1, tangga:1, wawas:1",18,29
Doc 49,"Dengan penerapan solusi manajemen energi yang terstruktur dan berorientasi jangka panjang, Indonesia dapat mengurangi ketergantungan terhadap energi fosil, menghemat sumber daya nasional, serta berkontribusi aktif dalam agenda global pengurangan emisi dan pembangunan berkelanjutan.",dengan penerapan solusi manajemen energi yang terstruktur dan berorientasi jangka panjang indonesia dapat mengurangi ketergantungan terhadap energi fosil menghemat sumber daya nasional serta berkontribusi aktif dalam agenda global pengurangan emisi dan pembangunan berkelanjutan,"[dengan, penerapan, solusi, manajemen, energi, yang, terstruktur, dan, berorientasi, jangka, panjang, indonesia, dapat, mengurangi, ketergantungan, terhadap, energi, fosil, menghemat, sumber, daya, nasional, serta, berkontribusi, aktif, dalam, agenda, global, pengurangan, emisi, dan, pembangunan, berkelanjutan]","[penerapan, manajemen, energi, berorientasi, jangka, panjang, mengurangi, ketergantungan, energi, fosil, menghemat, daya, nasional, berkontribusi, aktif, agenda, global, pengurangan, emisi, pembangunan, berkelanjutan]","[terap, manajemen, energi, berorientasi, jangka, panjang, kurang, gantung, energi, fosil, hemat, daya, nasional, berkontribusi, aktif, agenda, global, kurang, emisi, bangun]","energi:2, kurang:2, agenda:1, aktif:1, bangun:1, berkontribusi:1, berorientasi:1, daya:1, emisi:1, fosil:1, gantung:1, global:1, hemat:1, jangka:1, manajemen:1, nasional:1, panjang:1, terap:1",18,33
Doc 50,"Penerapan manajemen energi terbukti mampu menekan pemborosan energi melalui berbagai strategi seperti edukasi literasi energi, penggunaan peralatan hemat energi berlabel SNI, pengembangan teknologi rumah pintar, serta integrasi energi terbarukan seperti panel surya atap.",penerapan manajemen energi terbukti mampu menekan pemborosan energi melalui berbagai strategi seperti edukasi literasi energi penggunaan peralatan hemat energi berlabel sni pengembangan teknologi rumah pintar serta integrasi energi terbarukan seperti panel surya atap,"[penerapan, manajemen, energi, terbukti, mampu, menekan, pemborosan, energi, melalui, berbagai, strategi, seperti, edukasi, literasi, energi, penggunaan, peralatan, hemat, energi, berlabel, sni, pengembangan, teknologi, rumah, pintar, serta, integrasi, energi, terbarukan, seperti, panel, surya, atap]","[penerapan, manajemen, energi, terbukti, mampu, menekan, pemborosan, energi, strategi, edukasi, literasi, energi, penggunaan, peralatan, hemat, energi, berlabel, pengembangan, teknologi, rumah, pintar, integrasi, energi, terbarukan, panel, surya, atap]","[terap, manajemen, energi, bukti, mampu, tekan, boros, energi, strategi, edukasi, literasi, energi, guna, alat, hemat, energi, berlabel, kembang, teknologi, rumah, pintar, integrasi, energi, terbarukan, panel, surya, atap]","energi:5, alat:1, atap:1, berlabel:1, boros:1, bukti:1, edukasi:1, guna:1, hemat:1, integrasi:1, kembang:1, literasi:1, mampu:1, manajemen:1, panel:1, pintar:1, rumah:1, strategi:1, surya:1, tekan:1, teknologi:1, terap:1, terbarukan:1",23,33
Doc 51,"Dengan demikian, manajemen energi tidak hanya menjawab tantangan peningkatan kebutuhan listrik, tetapi juga memperkuat ketahanan energi nasional sekaligus mendukung upaya pengurangan emisi karbon demi pembangunan berkelanjutan.",dengan demikian manajemen energi tidak hanya menjawab tantangan peningkatan kebutuhan listrik tetapi juga memperkuat ketahanan energi nasional sekaligus mendukung upaya pengurangan emisi karbon demi pembangunan berkelanjutan,"[dengan, demikian, manajemen, energi, tidak, hanya, menjawab, tantangan, peningkatan, kebutuhan, listrik, tetapi, juga, memperkuat, ketahanan, energi, nasional, sekaligus, mendukung, upaya, pengurangan, emisi, karbon, demi, pembangunan, berkelanjutan]","[manajemen, energi, menjawab, tantangan, peningkatan, listrik, memperkuat, ketahanan, energi, nasional, mendukung, pengurangan, emisi, karbon, demi, pembangunan, berkelanjutan]","[manajemen, energi, menjawab, tantang, tingkat, listrik, memperkuat, tahan, energi, nasional, dukung, kurang, emisi, karbon, demi, bangun]","energi:2, bangun:1, demi:1, dukung:1, emisi:1, karbon:1, kurang:1, listrik:1, manajemen:1, memperkuat:1, menjawab:1, nasional:1, tahan:1, tantang:1, tingkat:1",15,26
Doc 52,Penelitian tentang manajemen energi dan audit energi sudah banyak dilakukan diberbagai bidang seperti dibidang kesehatan dan dibidang pendidikan dan dibidang industri.,penelitian tentang manajemen energi dan audit energi sudah banyak dilakukan diberbagai bidang seperti dibidang kesehatan dan dibidang pendidikan dan dibidang industri,"[penelitian, tentang, manajemen, energi, dan, audit, energi, sudah, banyak, dilakukan, diberbagai, bidang, seperti, dibidang, kesehatan, dan, dibidang, pendidikan, dan, dibidang, industri]","[penelitian, manajemen, energi, audit, energi, banyak, diberbagai, bidang, dibidang, kesehatan, dibidang, pendidikan, dibidang, industri]","[peneliti, manajemen, energi, audit, energi, banyak, diberbagai, bidang, dibidang, sehat, dibidang, didik, dibidang, industri]","dibidang:3, energi:2, audit:1, banyak:1, bidang:1, diberbagai:1, didik:1, industri:1, manajemen:1, peneliti:1, sehat:1",11,21
Doc 53,Efisiensi penggunaan energi masih mungkin ditingkatkan melalui penerapan sistem manajemen energi.,efisiensi penggunaan energi masih mungkin ditingkatkan melalui penerapan sistem manajemen energi,"[efisiensi, penggunaan, energi, masih, mungkin, ditingkatkan, melalui, penerapan, sistem, manajemen, energi]","[efisiensi, penggunaan, energi, ditingkatkan, penerapan, sistem, manajemen, energi]","[efisiensi, guna, energi, tingkat, terap, sistem, manajemen, energi]","energi:2, efisiensi:1, guna:1, manajemen:1, sistem:1, terap:1, tingkat:1",7,11
Doc 54,Agar dilakukan peninjauan ulang atas semua instalasi dan peralatan energi serta penerapan manajemen energi dalam pengelolaan bangunan.,agar dilakukan peninjauan ulang atas semua instalasi dan peralatan energi serta penerapan manajemen energi dalam pengelolaan bangunan,"[agar, dilakukan, peninjauan, ulang, atas, semua, instalasi, dan, peralatan, energi, serta, penerapan, manajemen, energi, dalam, pengelolaan, bangunan]","[peninjauan, ulang, instalasi, peralatan, energi, penerapan, manajemen, energi, pengelolaan, bangunan]","[tinjau, ulang, instalasi, alat, energi, terap, manajemen, energi, kelola, bangunan]","energi:2, alat:1, bangunan:1, instalasi:1, kelola:1, manajemen:1, terap:1, tinjau:1, ulang:1",9,17
Doc 55,Pengoperasian peralatan energi dilakukan dengan prinsip manajemen energi.,pengoperasian peralatan energi dilakukan dengan prinsip manajemen energi,"[pengoperasian, peralatan, energi, dilakukan, dengan, prinsip, manajemen, energi]","[pengoperasian, peralatan, energi, prinsip, manajemen, energi]","[operasi, alat, energi, prinsip, manajemen, energi]","energi:2, alat:1, manajemen:1, operasi:1, prinsip:1",5,8
Doc 56,Efisiensi penggunaan energi masih mungkin ditingkatkan melalui penerapan sistem manajemen energi terpadu.,efisiensi penggunaan energi masih mungkin ditingkatkan melalui penerapan sistem manajemen energi terpadu,"[efisiensi, penggunaan, energi, masih, mungkin, ditingkatkan, melalui, penerapan, sistem, manajemen, energi, terpadu]","[efisiensi, penggunaan, energi, ditingkatkan, penerapan, sistem, manajemen, energi, terpadu]","[efisiensi, guna, energi, tingkat, terap, sistem, manajemen, energi, padu]","energi:2, efisiensi:1, guna:1, manajemen:1, padu:1, sistem:1, terap:1, tingkat:1",8,12
Doc 57,Agar ditinjau ulang atas semua instalasi dan peralatan energi serta penerapan manajemen energi dalam pengelolaan bangunan.,agar ditinjau ulang atas semua instalasi dan peralatan energi serta penerapan manajemen energi dalam pengelolaan bangunan,"[agar, ditinjau, ulang, atas, semua, instalasi, dan, peralatan, energi, serta, penerapan, manajemen, energi, dalam, pengelolaan, bangunan]","[ditinjau, ulang, instalasi, peralatan, energi, penerapan, manajemen, energi, pengelolaan, bangunan]","[ditinjau, ulang, instalasi, alat, energi, terap, manajemen, energi, kelola, bangunan]","energi:2, alat:1, bangunan:1, ditinjau:1, instalasi:1, kelola:1, manajemen:1, terap:1, ulang:1",9,16
Doc 58,"Pembiayaan energi listrik paling besar persentasenya dibandingkan dengan energi yang lain, sehingga dalam pembahasan ini terfokus pada manajemen energi listrik di RSUD Kabupaten Klungkung.",pembiayaan energi listrik paling besar persentasenya dibandingkan dengan energi yang lain sehingga dalam pembahasan ini terfokus pada manajemen energi listrik di rsud kabupaten klungkung,"[pembiayaan, energi, listrik, paling, besar, persentasenya, dibandingkan, dengan, energi, yang, lain, sehingga, dalam, pembahasan, ini, terfokus, pada, manajemen, energi, listrik, di, rsud, kabupaten, klungkung]","[pembiayaan, energi, listrik, besar, persentasenya, dibandingkan, energi, pembahasan, manajemen, energi, listrik, kabupaten]","[biaya, energi, listrik, besar, dibanding, energi, pembahas, manajemen, energi, listrik, kabupaten]","energi:3, listrik:2, besar:1, biaya:1, dibanding:1, kabupaten:1, manajemen:1, pembahas:1",8,24
